user_id,route_id,timestamp,latitude,longitude,altitude
0,0,2024-06-02T02:00:00,37.789266,-122.400686,10.0
0,0,2024-06-02T02:00:30,37.787243,-122.399519,10.2
0,0,2024-06-02T02:01:00,37.785402,-122.398363,9.2
0,0,2024-06-02T02:01:30,37.78338,-122.397289,9.6
0,0,2024-06-02T02:02:00,37.781696,-122.395852,9.5
0,0,2024-06-02T02:02:30,37.779896,-122.394527,10.1
0,0,2024-06-02T02:03:00,37.77776,-122.393437,10.2
0,0,2024-06-02T02:03:30,37.77596,-122.392184,9.3
0,0,2024-06-02T02:04:00,37.774067,-122.390935,9.9
0,0,2024-06-02T02:04:30,37.772017,-122.389809,10.4
0,0,2024-06-02T02:05:00,37.770321,-122.388428,10.5
0,0,2024-06-02T02:05:30,37.768137,-122.3871,9.4
0,0,2024-06-02T02:06:00,37.766175,-122.385866,10.3
0,0,2024-06-02T02:06:30,37.764236,-122.38465,10.2
0,0,2024-06-02T02:07:00,37.762337,-122.38365,9.8
0,0,2024-06-02T02:07:30,37.760471,-122.382375,11.0
0,0,2024-06-02T02:08:00,37.758674,-122.380988,9.4
0,0,2024-06-02T02:08:30,37.757006,-122.380794,9.9
0,0,2024-06-02T02:09:00,37.755256,-122.380613,10.2
0,0,2024-06-02T02:09:30,37.753733,-122.380448,10.1
0,0,2024-06-02T02:10:00,37.751888,-122.38034,9.9
0,0,2024-06-02T02:10:30,37.750278,-122.380131,10.7
0,0,2024-06-02T02:11:00,37.748825,-122.379987,10.7
0,0,2024-06-02T02:11:30,37.746865,-122.379712,10.5
0,0,2024-06-02T02:12:00,37.745375,-122.379522,10.5
0,0,2024-06-02T02:12:30,37.74355,-122.379389,10.0
0,0,2024-06-02T02:13:00,37.741947,-122.379024,9.4
0,0,2024-06-02T02:13:30,37.740221,-122.378944,11.1
0,0,2024-06-02T02:14:00,37.738593,-122.378715,9.5
0,0,2024-06-02T02:14:30,37.737031,-122.378707,11.1
0,0,2024-06-02T02:15:00,37.735566,-122.378355,9.9
0,0,2024-06-02T02:15:30,37.733613,-122.378276,10.1
0,0,2024-06-02T02:16:00,37.731974,-122.377997,9.9
1,1,2024-04-07T15:00:00,37.789384,-122.400746,10.5
1,1,2024-04-07T15:00:30,37.786567,-122.399127,10.5
1,1,2024-04-07T15:01:00,37.783928,-122.39734,9.3
1,1,2024-04-07T15:01:30,37.781439,-122.395516,10.2
1,1,2024-04-07T15:02:00,37.778443,-122.393726,9.6
1,1,2024-04-07T15:02:30,37.775712,-122.391995,10.1
1,1,2024-04-07T15:03:00,37.77311,-122.390418,10.6
1,1,2024-04-07T15:03:30,37.77073,-122.388689,10.9
1,1,2024-04-07T15:04:00,37.767889,-122.386835,10.3
