route_id,user_id,point_index,latitude,longitude,is_anomaly
0,user_00,0,39.99,116.27,0
0,user_00,1,39.9922327517434,116.27347526976904,0
0,user_00,2,39.99446550348681,116.2769505395381,0
0,user_00,3,39.996698255230214,116.28042580930715,0
0,user_00,4,39.99893100697362,116.2839010790762,0
0,user_00,5,40.00116375871702,116.28737634884524,0
0,user_00,6,40.00339651046042,116.29085161861428,0
0,user_00,7,40.005629262203826,116.29432688838335,0
0,user_00,8,40.00786201394723,116.2978021581524,0
0,user_00,9,40.01009476569064,116.30127742792146,0
0,user_00,10,40.01232751743404,116.3047526976905,0
0,user_00,11,40.01456026917744,116.30822796745954,0
0,user_00,12,40.016793020920844,116.31170323722858,0
0,user_00,13,40.01902577266425,116.31517850699765,0
0,user_00,14,40.02125852440765,116.3186537767667,0
0,user_00,15,40.023491276151056,116.32212904653574,0
0,user_00,16,40.025724027894455,116.32560431630479,0
0,user_00,17,40.02795677963786,116.32907958607385,0
0,user_00,18,40.03018953138127,116.3325548558429,0
0,user_00,19,40.032422283124674,116.33603012561194,0
0,user_00,20,40.034655034868074,116.339505395381,0
0,user_00,21,40.03542228312467,116.34353012561193,0
0,user_00,22,40.03618953138127,116.3475548558429,0
0,user_00,23,40.03695677963786,116.35157958607385,0
0,user_00,24,40.037724027894456,116.3556043163048,0
0,user_00,25,40.03849127615105,116.35962904653574,0
0,user_00,26,40.03925852440765,116.3636537767667,0
0,user_00,27,40.04002577266425,116.36767850699765,0
0,user_00,28,40.040793020920844,116.37170323722859,0
0,user_00,29,40.04156026917744,116.37572796745955,0
0,user_00,30,40.04232751743403,116.37975269769049,0
0,user_00,31,40.04309476569063,116.38377742792144,0
0,user_00,32,40.043862013947226,116.3878021581524,0
0,user_00,33,40.04462926220383,116.39182688838335,0
0,user_00,34,40.04539651046042,116.3958516186143,0
0,user_00,35,40.046163758717015,116.39987634884525,0
0,user_00,36,40.04693100697361,116.4039010790762,0
0,user_00,37,40.04769825523021,116.40792580930714,0
0,user_00,38,40.04846550348681,116.4119505395381,0
0,user_00,39,40.049232751743396,116.41597526976905,0
0,user_00,40,40.05,116.42,0
